Rank	Cause	Count
1	Heart disease	12,980
2	Cancer	11,799
3	Unintentional injuries	4,802
4	Stroke	2,693
5	Chronic lower respiratory	2,513
6	Alzheimer's disease	2,348
7	Diabetes	1,479
8	Suicide	919
9	Chronic liver disease	910
10	COVID-19	817
11	Kidney disease	780
12	Parkinson's disease	777
13	Septicemia	668
14	Influenza and pneumonia	616
15	Hypertension	608
16	Nutritional deficiencies	575
17	Pulmonary aspiration	386
18	In situ neoplasms	314
19	Homicide	285
20	Aortic aneurysm	238
21	Congenital	138
22	Gallbladder	108
23	Anemias	105
24	Ulcer	77
25	Enterocolitis	71
26	Hernia	68
27	Atherosclerosis	60
28	Medical care	56
29	Kidney infection	34
30	Viral hepatitis	25
31	HIV	23
32	Pregnancy and childbirth	18
33	Diseases of appendix	17
	All Other Causes	9,807
